11:21:33.149 -> 
11:21:33.149 -> pre-trials,1;
11:21:35.736 -> inactive,1,2
11:21:39.154 -> GO trials,1;
11:21:41.638 -> inactive,2,8
11:21:44.037 -> active,1,rewards,1,10
11:21:54.110 -> pre-trials,2;
11:21:55.536 -> active,2,premature,1,22
11:22:05.548 -> pre-trials,3;
11:22:05.824 -> active,3,premature,2,32
11:22:08.734 -> active,4,rewards,1,35
11:22:08.734 -> active,5,rewards,1,35
11:22:08.781 -> active,6,rewards,1,35
11:22:13.026 -> inactive,3,39
11:22:15.803 -> active,7,rewards,1,42
11:22:15.849 -> pre-trials,4;
11:22:15.849 -> active,8,premature,3,42
11:22:16.358 -> active,9,rewards,1,43
11:22:18.439 -> inactive,4,45
11:22:24.667 -> active,10,rewards,1,51
11:22:25.871 -> pre-trials,5;
11:22:31.123 -> inactive,5,57
11:22:31.627 -> inactive,6,58
11:22:33.739 -> inactive,7,60
11:22:34.886 -> GO trials,2;
11:22:35.803 -> active,11,rewards,2,62
11:22:45.911 -> pre-trials,6;
11:22:52.115 -> inactive,8,78
11:22:54.964 -> GO trials,3;
11:22:55.653 -> inactive,9,82
11:22:59.972 -> omissions,1;
11:23:01.669 -> inactive,10,88
11:23:03.600 -> active,12,rewards,2,90
11:23:03.783 -> active,13,rewards,2,90
11:23:09.985 -> pre-trials,7;
11:23:19.019 -> GO trials,4;
11:23:19.019 -> inactive,11,105
11:23:20.589 -> active,14,rewards,3,107
11:23:30.698 -> pre-trials,8;
11:23:33.698 -> GO trials,5;
11:23:35.495 -> inactive,12,122
11:23:38.726 -> omissions,2;
11:23:41.863 -> inactive,13,128
11:23:42.280 -> inactive,14,128
11:23:48.744 -> pre-trials,9;
11:23:51.188 -> inactive,15,137
11:23:54.328 -> active,15,premature,4,140
11:23:55.937 -> inactive,16,142
11:23:56.211 -> inactive,17,142
11:23:56.581 -> inactive,18,143
11:23:58.795 -> active,16,rewards,3,145
11:24:04.386 -> pre-trials,10;
11:24:07.854 -> inactive,19,154
11:24:07.854 -> inactive,20,154
11:24:08.038 -> inactive,21,154
11:24:10.391 -> GO trials,6;
11:24:15.383 -> omissions,3;
11:24:19.818 -> active,17,rewards,3,166
11:24:25.432 -> pre-trials,11;
11:24:30.868 -> active,18,premature,5,177
11:24:32.569 -> active,19,rewards,3,179
11:24:32.706 -> active,20,rewards,3,179
11:24:32.706 -> active,21,rewards,3,179
11:24:40.907 -> pre-trials,12;
11:24:46.895 -> GO trials,7;
11:24:49.335 -> inactive,22,195
11:24:51.918 -> omissions,4;
11:24:59.509 -> active,22,rewards,3,206
11:25:01.944 -> pre-trials,13;
11:25:05.946 -> inactive,23,212
11:25:08.336 -> active,23,premature,6,214
11:25:11.603 -> inactive,24,218
11:25:12.574 -> inactive,25,219
11:25:15.160 -> active,24,rewards,3,221
11:25:15.391 -> active,25,rewards,3,221
11:25:17.379 -> inactive,26,223
11:25:18.350 -> pre-trials,14;
11:25:22.234 -> inactive,27,228
11:25:24.270 -> active,26,premature,7,230
11:25:26.575 -> active,27,rewards,3,233
11:25:26.622 -> active,28,rewards,3,233
11:25:26.667 -> active,29,rewards,3,233
11:25:29.071 -> inactive,28,235
11:25:30.687 -> inactive,29,237
11:25:34.198 -> inactive,30,240
11:25:34.291 -> pre-trials,15;
11:25:37.294 -> GO trials,8;
11:25:40.804 -> active,30,rewards,4,247
11:25:50.918 -> pre-trials,16;
11:25:52.858 -> active,31,premature,8,259
11:26:02.879 -> pre-trials,17;
11:26:06.805 -> active,32,premature,9,273
11:26:16.873 -> pre-trials,18;
11:26:25.881 -> GO trials,9;
11:26:28.976 -> active,33,rewards,5,295
11:26:39.088 -> pre-trials,19;
11:26:45.188 -> active,34,premature,10,311
11:26:45.234 -> active,35,rewards,5,311
11:26:45.280 -> active,36,rewards,5,311
11:26:48.238 -> inactive,31,314
11:26:51.337 -> active,37,rewards,5,317
11:26:51.383 -> active,38,rewards,5,317
11:26:51.383 -> active,39,rewards,5,317
11:26:51.429 -> active,40,rewards,5,317
11:26:55.129 -> active,41,rewards,5,321
11:26:55.220 -> pre-trials,20;
11:26:55.359 -> active,42,premature,11,321
11:26:55.359 -> active,43,rewards,5,321
11:26:55.498 -> active,44,rewards,5,321
11:27:05.375 -> pre-trials,21;
11:27:08.383 -> GO trials,10;
11:27:13.417 -> omissions,5;
11:27:13.556 -> active,45,rewards,5,339
11:27:15.959 -> active,46,rewards,5,342
11:27:18.405 -> active,47,rewards,5,344
11:27:22.323 -> active,48,rewards,5,348
11:27:23.338 -> active,49,rewards,5,349
11:27:23.431 -> pre-trials,22;
11:27:23.847 -> active,50,premature,12,350
11:27:26.849 -> inactive,32,353
11:27:26.987 -> inactive,33,353
11:27:27.171 -> inactive,34,353
11:27:28.974 -> active,51,rewards,5,355
11:27:31.005 -> inactive,35,357
11:27:33.173 -> active,52,rewards,5,359
11:27:33.220 -> active,53,rewards,5,359
11:27:33.910 -> pre-trials,23;
11:27:34.278 -> active,54,premature,13,360
11:27:37.958 -> inactive,36,364
11:27:39.568 -> active,55,rewards,5,365
11:27:42.730 -> inactive,37,368
11:27:44.333 -> pre-trials,24;
11:27:46.172 -> active,56,premature,14,372
11:27:46.263 -> active,57,rewards,5,372
11:27:46.355 -> active,58,rewards,5,372
11:27:46.675 -> active,59,rewards,5,372
11:27:47.230 -> active,60,rewards,5,373
11:27:48.425 -> active,61,rewards,5,374
11:27:48.746 -> active,62,rewards,5,374
11:27:50.819 -> active,63,rewards,5,377
11:27:50.865 -> active,64,rewards,5,377
11:27:52.705 -> inactive,38,378
11:27:52.934 -> inactive,39,379
11:27:55.830 -> active,65,rewards,5,382
11:27:55.876 -> active,66,rewards,5,382
11:27:55.969 -> active,67,rewards,5,382
11:27:55.969 -> active,68,rewards,5,382
11:27:56.197 -> pre-trials,25;
11:28:02.217 -> GO trials,11;
11:28:07.204 -> omissions,6;
11:28:07.523 -> active,69,rewards,5,393
11:28:10.274 -> active,70,rewards,5,396
11:28:11.609 -> active,71,rewards,5,397
11:28:13.496 -> active,72,rewards,5,399
11:28:17.262 -> pre-trials,26;
11:28:17.308 -> active,73,premature,15,403
11:28:17.762 -> active,74,rewards,5,403
11:28:17.991 -> active,75,rewards,5,404
11:28:20.838 -> active,76,rewards,5,406
11:28:20.884 -> active,77,rewards,5,407
11:28:25.618 -> active,78,rewards,5,411
11:28:25.710 -> active,79,rewards,5,411
11:28:25.939 -> active,80,rewards,5,412
11:28:25.985 -> active,81,rewards,5,412
11:28:27.317 -> pre-trials,27;
11:28:33.338 -> GO trials,12;
11:28:36.516 -> active,82,rewards,6,422
11:28:36.609 -> active,83,rewards,6,422
11:28:36.838 -> active,84,rewards,6,422
11:28:36.976 -> active,85,rewards,6,423
11:28:46.632 -> pre-trials,28;
11:28:49.535 -> active,86,premature,16,435
11:28:52.155 -> inactive,40,438
11:28:53.026 -> inactive,41,439
11:28:58.033 -> active,87,rewards,6,444
