107,0
402,20157,0
403,20207,0
404,20258,0
405,20308,0
406,20357,0
407,20407,0
408,20458,0
409,20508,0
410,20558,0
411,20607,0
412,20659,0
413,20707,0
414,20758,0
415,20808,0
416,20858,0
417,20908,0
418,20958,0
419,21009,0
420,21058,0
421,21108,0
422,21158,0
423,21208,0
424,21258,0
425,21309,0
426,21358,0
427,21408,0
428,21458,0
429,21508,0
430,21558,0
431,21608,0
432,21658,0
433,21708,0
434,21759,0
435,21808,0
436,21859,0
437,21908,0
438,21959,0
439,22009,0
440,22058,0
441,22109,0
442,22159,0
443,22208,0
444,22259,0
445,22309,0
446,22359,0
447,22409,0
448,22459,0
449,22510,0
450,22558,0
451,22609,0
452,22659,0
453,22709,0
454,22759,0
455,22810,0
456,22859,0
457,22909,0
458,22959,0
459,23009,0
460,23059,0
461,23109,0
462,23160,0
463,23209,0
464,23261,0
465,23309,0
466,23359,0
467,23409,0
468,23459,0
469,23510,0
470,23560,0
471,23614,0
472,23660,0
473,23710,0
474,23760,0
475,23810,0
476,23860,0
477,23910,0
478,23961,0
479,24010,0
480,24059,0
481,24110,0
482,24160,0
483,24210,0
484,24260,0
485,24310,0
486,24361,0
487,24411,0
488,24460,0
489,24510,0
490,24560,0
491,24611,0
492,24660,0
493,24711,0
494,24761,0
495,24810,0
496,24860,0
497,24910,0
498,24961,0
499,25011,0
500,25061,0
501,25111,0
502,25161,0
503,25210,0
504,25261,0
505,25311,0
506,25361,0
507,25412,0
508,25461,0
509,25512,0
510,25560,0
511,25611,0
512,25662,0
513,25712,0
514,25761,0
515,25812,0
516,25861,0
517,25911,0
518,25961,0
519,26011,0
520,26061,0
521,26112,0
522,26161,0
523,26212,0
524,26262,0
525,26311,0
526,26361,0
527,26411,0
528,26461,0
529,26511,0
530,26562,0
531,26612,0
532,26662,0
533,26711,0
534,26761,0
535,26812,0
536,26863,0
537,26912,0
538,26962,0
539,27012,0
540,27062,0
541,27111,0
542,27162,0
543,27212,0
544,27263,0
545,27313,0
546,27363,0
547,27412,0
548,27462,0
549,27512,0
550,27562,0
551,27614,0
552,27662,0
553,27715,0
554,27763,0
555,27813,0
556,27862,0
557,27912,0
558,27963,0
559,28012,0
560,28063,0
561,28113,0
562,28163,0
563,28213,0
564,28263,0
565,28313,0
566,28364,0
567,28413,0
568,28463,0
569,28513,0
570,28562,0
571,28613,0
572,28664,0
573,28713,0
574,28764,0
575,28813,0
576,28863,0
577,28913,0
578,28963,0
579,29013,0
580,29066,0
581,29113,0
582,29164,0
583,29214,0
584,29264,0
585,29314,0
586,29363,0
587,29415,0
588,29464,0
589,29514,0
590,29564,0
591,29614,0
592,29663,0
593,29714,0
594,29763,0
595,29814,0
596,29864,0
597,29915,0
598,29965,0
599,30014,0
600,30063,0
601,30114,0
602,30164,0
603,30215,0
604,30265,0
605,30314,0
606,30365,0
607,30414,0
608,30464,0
609,30515,0
610,30565,0
611,30615,0
612,30665,0
613,30715,0
614,30765,0
615,30814,0
616,30865,0
617,30914,0
618,30965,0
619,31015,0
620,31065,0
621,31115,0
622,31164,0
623,31214,0
624,31265,0
625,31314,0
626,31366,0
627,31415,0
628,31466,0
629,31516,0
630,31565,0
631,31615,0
632,31664,0
633,31715,0
634,31765,0
635,31815,0
636,31865,0
637,31915,0
638,31964,0
639,32015,0
640,32065,0
641,32115,0
642,32165,0
643,32215,0
644,32265,0
645,32315,0
646,32365,0
647,32416,0
648,32465,0
649,32515,0
650,32567,0
651,32616,0
652,32665,0
653,32716,0
654,32765,0
655,32816,0
656,32867,0
657,32916,0
658,32966,0
659,33016,0
660,33065,0
661,33115,0
662,33167,0
663,33216,0
664,33267,0
665,33316,0
666,33367,0
667,33416,0
668,33465,0
669,33516,0
670,33566,0
671,33616,0
672,33667,0
673,33717,0
674,33767,0
675,33816,0
676,33866,0
677,33916,0
678,33968,0
679,34017,0
680,34067,0
681,34117,0
682,34166,0
683,34216,0
684,34266,0
685,34316,0
686,34367,0
687,34417,0
688,34468,0
689,34516,0
690,34566,0
691,34617,0
692,34667,0
693,34717,0
694,34767,0
695,34817,0
696,34868,0
697,34917,0
698,34967,0
699,35017,0
700,35067,0
701,35117,0
702,35167,0
703,35218,0
704,35267,0
705,35317,0
706,35367,0
707,35417,0
708,35467,0
709,35517,0
710,35568,0
711,35618,0
712,35668,0
713,35717,0
714,35767,0
715,35818,0
716,35868,0
717,35918,0
718,35969,0
719,36018,0
720,36068,0
721,36117,0
722,36168,0
723,36218,0
724,36268,0
725,36319,0
726,36368,0
727,36418,0
728,36468,0
729,36518,0
730,36568,0
731,36618,0
732,36668,0
733,36719,0
734,36768,0
735,36818,0
736,36868,0
737,36919,0
738,36969,0
739,37018,0
740,37068,0
741,37120,0
742,37169,0
743,37218,0
744,37269,2
745,37319,1
746,37371,0
747,37419,0
748,37470,0
749,37520,0
750,37568,0
751,37618,0
752,37669,0
753,37719,0
754,37769,0
755,37819,0
756,37870,0
757,37920,0
758,37968,0
759,38019,0
760,38069,0
761,38119,0
762,38169,0
763,38219,0
764,38271,0
765,38319,0
766,38370,0
767,38419,0
768,38469,0
769,38520,0
770,38569,0
771,38620,0
772,38669,0
773,38720,0
774,38769,0
775,38819,0
776,38870,0
777,38921,0
778,38970,0
779,39020,0
780,39069,0
781,39119,0
782,39171,0
783,39220,0
784,39270,0
785,39320,0
786,39370,0
787,39419,0
788,39470,0
789,39520,0
790,39570,0
791,39620,0
792,39671,0
793,39721,0
794,39771,0
795,39819,0
796,39870,0
797,39920,0
798,39975,0
799,40020,0
800,40071,0
801,40121,0
802,40170,0
803,40220,0
804,40271,0
805,40320,0
806,40371,0
807,40421,0
808,40471,0
809,40521,0
810,40570,0
811,40620,0
812,40671,0
813,40721,0
814,40771,0
815,40821,0
816,40872,0
817,40921,0
818,40971,0
819,41021,0
820,41072,0
821,41121,0
822,41171,0
823,41222,0
824,41271,0
825,41321,0
826,41371,0
827,41421,0
828,41472,0
829,41521,0
830,41571,0
831,41622,0
832,41671,0
833,41721,0
834,41771,0
835,41822,0
836,41871,0
837,41921,0
838,41972,0
839,42022,0
840,42071,0
841,42121,0
842,42171,0
843,42222,0
844,42272,0
845,42322,0
846,42372,0
847,42422,0
848,42472,0
849,42521,0
850,42572,0
851,42622,0
852,42673,0
853,42722,0
854,42773,0
855,42822,0
856,42872,0
857,42922,0
858,42972,0
859,43022,0
860,43072,0
861,43123,0
862,43172,0
863,43222,0
864,43273,0
865,43322,0
866,43373,0
867,43423,0
868,43473,0
869,43523,0
870,43572,0
871,43622,0
872,43673,0
873,43723,0
874,43774,0
875,43823,0
876,43874,0
877,43922,0
878,43972,0
879,44022,0
880,44073,2
881,44123,1
882,44173,0
883,44225,0
884,44274,0
885,44323,0
886,44374,0
887,44423,0
888,44475,0
889,44523,0
890,44573,0
891,44623,0
892,44673,0
893,44724,0
894,44774,0
895,44823,0
896,44873,0
897,44924,0
898,44974,0
899,45023,0
900,45073,0
901,45124,0
902,45174,0
903,45225,0
904,45274,0
905,45324,0
906,45374,0
907,45424,0
908,45474,0
909,45524,0
910,45574,0
911,45624,0
912,45674,0
913,45724,0
914,45774,0
915,45824,0
916,45874,0
917,45924,0
918,45974,0
919,46024,0
920,46075,0
921,46124,0
922,46174,0
923,46224,0
924,46275,0
925,46325,0
926,46375,0
927,46425,0
928,46474,0
929,46525,0
930,46574,0
931,46625,0
932,46675,0
933,46726,0
934,46775,0
935,46824,0
936,46875,0
937,46925,0
938,46975,0
939,47025,0
940,47075,0
941,47126,0
942,47176,0
943,47225,0
944,47275,0
945,47325,0
946,47376,0
947,47425,0
948,47476,0
949,47526,0
950,47574,0
951,47625,0
952,47676,0
953,47725,0
954,47775,0
955,47826,0
956,47876,0
957,47926,0
958,47975,0
959,48026,0
960,48075,0
961,48125,0
962,48176,0
963,48226,0
964,48276,0
965,48325,0
966,48375,0
967,48426,0
968,48476,0
969,48525,0
970,48576,0
971,48626,0
972,48677,0
973,48725,0
974,48776,0
975,48826,0
976,48876,0
977,48926,0
978,48977,0
979,49027,0
980,49076,0
981,49126,0
982,49177,0
983,49226,0
984,49276,0
985,49326,0
986,49377,0
987,49427,0
988,49476,0
989,49527,0
990,49577,0
991,49626,0
992,49677,0
993,49728,0
994,49777,0
995,49826,0
996,49877,0
997,49927,0
998,49977,0
999,50027,0
1000,50077,0
1001,50128,0
1002,50178,0
1003,50227,0
1004,50277,0
1005,50327,0
1006,50377,0
1007,50428,0
1008,50478,0
1009,50527,0
1010,50577,0
1011,50627,0
1012,50677,0
1013,50727,0
1014,50777,0
1015,50827,0
1016,50878,0
1017,50928,0
1018,50977,0
1019,51027,0
1020,51077,0
1021,51127,0
1022,51178,0
1023,51228,0
1024,51278,0
1025,51328,0
1026,51378,0
1027,51428,0
1028,51478,0
1029,51528,0
1030,51578,0
1031,51628,0
1032,51678,0
1033,51728,0
1034,51778,0
1035,51828,0
1036,51878,0
1037,51928,0
1038,51978,0
1039,52028,0
1040,52078,0
1041,52127,0
1042,52178,0
1043,52229,0
1044,52280,0
1045,52329,0
1046,52379,0
1047,52430,0
1048,52478,0
1049,52528,0
1050,52578,0
1051,52628,0
1052,52679,0
1053,52730,0
1054,52779,0
1055,52828,0
1056,52879,0
1057,52929,0
1058,52979,0
1059,53030,0
1060,53080,0
1061,53130,0
1062,53178,0
1063,53229,0
1064,53279,0
1065,53329,0
1066,53379,0
1067,53429,0
1068,53480,0
1069,53530,0
1070,53579,0
1071,53630,0
1072,53679,0
1073,53730,0
1074,53780,0
1075,53829,0
1076,53880,0
1077,53929,0
1078,53980,0
1079,54029,0
1080,54079,0
1081,54130,0
1082,54180,0
