Frame Number,Time Stamp (ms),Buffer Index
0,-8,0
1,56,0
2,92,0
3,142,0
4,192,0
5,242,0
6,293,0
7,343,0
8,393,0
9,442,0
10,492,0
11,542,0
12,593,0
13,643,0
14,693,0
15,743,0
16,793,0
17,842,0
18,893,0
19,943,0
20,993,0
21,1044,0
22,1093,0
23,1143,0
24,1193,0
25,1243,0
26,1293,0
27,1344,0
28,1393,0
29,1444,0
30,1494,0
31,1543,0
32,1594,0
33,1643,0
34,1693,0
35,1744,0
36,1794,0
37,1844,0
38,1894,0
39,1943,0
40,1993,0
41,2044,0
42,2094,0
43,2144,0
44,2194,0
45,2244,0
46,2293,0
47,2343,0
48,2394,0
49,2444,0
50,2494,0
51,2544,0
52,2594,0
53,2645,0
54,2693,0
55,2744,0
56,2794,0
57,2844,0
58,2894,0
59,2944,0
60,2995,0
61,3044,0
62,3094,0
63,3144,0
64,3194,0
65,3245,0
66,3295,0
67,3345,0
68,3395,0
69,3444,0
70,3494,0
71,3545,0
72,3595,0
73,3645,0
74,3695,0
75,3745,0
76,3795,0
77,3844,0
78,3895,0
79,3945,0
80,3995,0
81,4045,0
82,4095,0
83,4146,0
84,4195,0
85,4245,0
86,4295,0
87,4345,0
88,4395,0
89,4445,0
90,4495,0
91,4546,0
92,4595,0
93,4645,0
94,4695,0
95,4746,0
96,4795,0
97,4845,0
98,4896,0
99,4946,0
100,4995,0
101,5045,0
102,5095,0
103,5146,0
104,5196,0
105,5246,0
106,5296,0
107,5346,0
108,5396,0
109,5446,0
110,5496,0
111,5546,0
112,5597,0
113,5646,0
114,5697,0
115,5746,0
116,5796,0
117,5846,0
118,5896,0
119,5946,0
120,5997,0
121,6047,0
122,6096,0
123,6146,0
124,6196,0
125,6246,0
126,6297,0
127,6346,0
128,6397,0
129,6447,0
130,6496,0
131,6546,0
132,6597,0
133,6647,0
134,6696,0
135,6747,0
136,6797,0
137,6847,0
138,6897,0
139,6947,0
140,6997,0
141,7047,0
142,7097,0
143,7148,0
144,7197,0
145,7247,0
146,7297,0
147,7347,0
148,7397,0
149,7447,0
150,7498,0
151,7548,0
152,7598,0
153,7647,0
154,7697,0
155,7747,0
156,7797,0
157,7848,0
158,7898,0
159,7948,0
160,7997,0
161,8048,0
162,8098,0
163,8148,0
164,8198,0
165,8248,0
166,8298,0
167,8348,0
168,8397,0
169,8448,0
170,8498,0
171,8548,0
172,8598,0
173,8648,0
174,8699,0
175,8748,0
176,8798,0
177,8848,0
178,8898,0
179,8949,0
180,8998,0
181,9049,0
182,9098,0
183,9148,0
184,9198,0
185,9248,0
186,9298,0
187,9348,0
188,9399,0
189,9449,0
190,9498,0
191,9549,0
192,9598,0
193,9649,0
194,9699,0
195,9749,0
196,9800,0
197,9848,0
198,9898,0
199,9949,0
200,9999,0
201,10049,0
202,10099,0
203,10149,0
204,10200,0
205,10249,0
206,10299,0
207,10349,0
208,10399,0
209,10449,0
210,10499,0
211,10550,0
212,10600,0
213,10649,0
214,10699,0
215,10749,0
216,10799,0
217,10849,0
218,10900,0
219,10950,0
220,10999,0
221,11049,0
222,11099,0
223,11150,0
224,11200,0
225,11250,0
226,11300,0
227,11350,0
228,11400,0
229,11450,0
230,11500,0
231,11551,0
232,11601,0
233,11651,0
234,11701,0
235,11750,0
236,11800,0
237,11850,0
238,11900,0
239,11950,0
240,12001,0
241,12051,0
242,12101,0
243,12151,0
244,12201,0
245,12250,0
246,12301,0
247,12351,0
248,12401,0
249,12451,0
250,12501,0
251,12550,0
252,12600,0
253,12651,0
254,12701,0
255,12751,0
256,12801,0
257,12851,0
258,12901,0
259,12951,0
260,13001,0
261,13051,0
262,13101,0
263,13151,0
264,13202,0
265,13252,0
266,13302,0
267,13351,0
268,13401,0
269,13452,0
270,13501,0
271,13552,0
272,13602,0
273,13652,0
274,13702,0
275,13751,0
276,13801,0
277,13852,0
278,13902,0
279,13952,0
280,14002,0
281,14052,0
282,14103,0
283,14152,0
284,14202,0
285,14252,0
286,14303,0
287,14352,0
288,14402,0
289,14453,0
290,14503,0
291,14553,0
292,14602,0
293,14653,0
294,14703,0
295,14753,0
296,14803,0
297,14853,0
298,14903,0
299,14953,0
300,15004,0
301,15053,0
302,15104,0
303,15154,0
304,15204,0
305,15253,0
306,15303,0
307,15353,0
308,15403,0
309,15453,0
310,15505,0
311,15554,0
312,15604,0
313,15654,0
314,15704,0
315,15753,0
316,15803,0
317,15854,0
318,15904,0
319,15954,0
320,16005,0
321,16054,0
322,16104,0
323,16154,0
324,16204,0
325,16254,0
326,16304,0
327,16354,0
328,16403,0
329,16454,0
330,16504,0
331,16554,0
332,16605,0
333,16655,0
334,16705,0
335,16754,0
336,16803,0
337,16854,0
338,16904,0
339,16954,0
340,17005,0
341,17054,0
342,17105,0
343,17154,0
344,17204,0
345,17254,0
346,17304,0
347,17354,0
348,17405,0
349,17455,0
350,17505,0
351,17555,0
352,17605,0
353,17654,0
354,17705,0
355,17754,0
356,17805,0
357,17855,0
358,17904,0
359,17954,0
360,18005,0
361,18055,0
362,18105,0
363,18155,0
364,18205,0
365,18255,0
366,18304,0
367,18355,0
368,18405,0
369,18455,0
370,18506,0
371,18555,0
372,18605,0
373,18656,0
374,18706,0
375,18755,0
376,18805,0
377,18855,0
378,18905,0
379,18955,0
380,19006,0
381,19055,0
382,19106,0
383,19155,0
384,19205,0
385,19255,0
386,19306,0
387,19356,0
388,19406,0
389,19455,0
390,19506,0
391,19556,0
392,19606,0
393,19656,0
394,19707,0
395,19756,0
396,19806,0
397,19856,0
398,19906,0
399,19956,0
400,20006,0
401,20057,0
402,20107,0
